#Estrellas de referencia de la noche 7 de JKTjul99 en Johnson B
IMA  ; star         ;  t   ;  secz ; 2.5logf;   V    ;  B-V   ; Errorm;  V-R
174  ; G138-25      ; 60.0 ; 1.072 ;  7.844 ; 13.513 ;  1.419 ; 0.004 ;  0.883
175  ; PG1633+099B  ; 20.0 ; 1.096 ;  8.628 ; 12.969 ;  1.081 ; 0.005 ;  0.590
175  ; PG1633+099C  ; 20.0 ; 1.096 ;  8.334 ; 13.229 ;  1.134 ; 0.006 ;  0.618
175  ; PG1633+099D  ; 20.0 ; 1.096 ;  8.417 ; 13.691 ;  0.535 ; 0.005 ;  0.324
190  ; PG2336+004   ; 60.0 ; 1.608 ;  6.693 ; 15.899 ; -0.172 ; 0.007 ; -0.061
190  ; PG2336+004B  ; 60.0 ; 1.608 ;  9.522 ; 12.431 ;  0.507 ; 0.002 ;  0.314
193  ; 109-199      ; 20.0 ; 1.614 ;  9.905 ; 10.990 ;  1.739 ; 0.003 ;  1.006
194  ; PG2331+055   ; 40.0 ; 1.431 ;  7.364 ; 15.182 ; -0.066 ; 0.007 ; -0.012
194  ; PG2331+055A  ; 40.0 ; 1.431 ;  8.743 ; 13.051 ;  0.741 ; 0.003 ;  0.419
195  ; PG2331+055B  ; 40.0 ; 1.431 ;  6.970 ; 14.744 ;  0.819 ; 0.008 ;  0.481
197  ; PG2213-006   ; 60.0 ; 1.225 ;  8.593 ; 14.124 ; -0.217 ; 0.004 ; -0.092
197  ; PG2213-006A  ; 60.0 ; 1.225 ;  7.708 ; 14.178 ;  0.673 ; 0.004 ;  0.406
197  ; PG2213-006B  ; 60.0 ; 1.225 ;  9.099 ; 12.706 ;  0.749 ; 0.002 ;  0.427
197  ; PG2213-006C  ; 60.0 ; 1.225 ;  6.733 ; 15.109 ;  0.721 ; 0.007 ;  0.426
198  ; MARK-A       ; 40.0 ; 1.298 ;  9.463 ; 13.258 ; -0.242 ; 0.002 ; -0.115
198  ; MARK-A1      ; 40.0 ; 1.298 ;  6.042 ; 15.911 ;  0.609 ; 0.012 ;  0.367
198  ; MARK-A2      ; 40.0 ; 1.298 ;  7.323 ; 14.540 ;  0.666 ; 0.006 ;  0.379
198  ; MARK-A3      ; 40.0 ; 1.298 ;  6.823 ; 14.818 ;  0.938 ; 0.007 ;  0.587
201  ; 111-1965     ; 20.0 ; 1.213 ;  9.522 ; 11.419 ;  1.710 ; 0.003 ;  0.951
201  ; 111-1969     ; 20.0 ; 1.213 ; 10.355 ; 10.382 ;  1.959 ; 0.002 ;  1.177
202  ; 110-499      ; 20.0 ; 1.380 ;  9.827 ; 11.737 ;  0.987 ; 0.003 ;  0.600
202  ; 110-502      ; 20.0 ; 1.380 ;  8.042 ; 12.330 ;  2.326 ; 0.006 ;  1.373
202  ; 110-503      ; 20.0 ; 1.380 ; 10.067 ; 11.773 ;  0.671 ; 0.003 ;  0.373
202  ; 110-504      ; 20.0 ; 1.380 ;  7.312 ; 14.022 ;  1.248 ; 0.014 ;  0.797
202  ; 110-506      ; 20.0 ; 1.380 ; 10.644 ; 11.312 ;  0.568 ; 0.002 ;  0.335
202  ; 110-507      ; 20.0 ; 1.380 ;  8.986 ; 12.440 ;  1.141 ; 0.004 ;  0.633

