#Estrellas de referencia de la noche 1 de JKTjul99 en Johnson B
IMA  ; star       ;  t   ;  secz  ; 2.5logf ;   V    ;  B-V   ; Errorm ;  V-R
579  ; 113-492	  ; 20.0 ;  1.223 ;  9.779  ; 12.174 ;  0.553 ;  0.003 ;  0.342
579  ; 113-493	  ; 20.0 ;  1.223 ;  9.978  ; 11.767 ;  0.786 ;  0.003 ;  0.430
579  ; 113-495	  ; 20.0 ;  1.223 ;  9.167  ; 12.437 ;  0.947 ;  0.004 ;  0.512
583  ; PG2331+055  ; 90.0 ;  1.086 ;  7.440  ; 15.182 ; -0.066 ;  0.005 ; -0.012
583  ; PG2331+055A ; 90.0 ;  1.086 ;  8.813  ; 13.051 ;  0.741 ;  0.003 ;  0.419
583  ; PG2331+055B ; 90.0 ;  1.086 ;  7.062  ; 14.744 ;  0.819 ;  0.007 ;  0.481
586  ; 111-1965	  ; 20.0 ;  2.333 ;  8.885  ; 11.419 ;  1.710 ;  0.009 ;  0.951
586  ; 111-1969	  ; 20.0 ;  2.333 ;  9.728  ; 10.382 ;  1.959 ;  0.006 ;  1.177
587  ; MARK-A	  ; 60.0 ;  1.931 ;  9.040  ; 13.258 ; -0.242 ;  0.006 ; -0.115
587  ; MARK-A1	  ; 60.0 ;  1.931 ;  5.714  ; 15.911 ;  0.609 ;  0.049 ;  0.367
587  ; MARK-A2	  ; 60.0 ;  1.931 ;  6.960  ; 14.540 ;  0.666 ;  0.021 ;  0.379
587  ; MARK-A3	  ; 60.0 ;  1.931 ;  6.441  ; 14.818 ;  0.938 ;  0.028 ;  0.587
590  ; PG2336+004  ; 20.0 ;  1.134 ;  6.830  ; 15.899 ; -0.172 ;  0.041 ; -0.061
590  ; PG2336+004A ; 20.0 ;  1.134 ; 10.607  ; 11.277 ;  0.679 ;  0.005 ;  0.398
590  ; PG2336+004B ; 20.0 ;  1.134 ;  9.599  ; 12.431 ;  0.507 ;  0.009 ;  0.314
591  ; 113-492	  ; 20.0 ;  1.349 ;  9.684  ; 12.174 ;  0.553 ;  0.008 ;  0.342
591  ; 113-493	  ; 20.0 ;  1.349 ;  9.886  ; 11.767 ;  0.786 ;  0.008 ;  0.430
591  ; 113-495	  ; 20.0 ;  1.349 ;  9.082  ; 12.437 ;  0.947 ;  0.014 ;  0.512
