#Estrellas de referencia de la noche 2 de JKTjul99 en Johnson B
IMA  ; star       ;  t   ;  secz ; 2.5logf ;   V    ;  B-V   ; Errorm ;  V-R
670  ; 113-492    ; 20.0 ; 1.195 ;  9.863  ; 12.174 ;  0.553 ;  0.004 ;  0.342
670  ; 113-493    ; 20.0 ; 1.195 ; 10.054  ; 11.767 ;  0.786 ;  0.004 ;  0.430
670  ; 113-495    ; 20.0 ; 1.195 ;  9.249  ; 12.437 ;  0.947 ;  0.005 ;  0.512
673  ; MARK-A     ; 60.0 ; 1.621 ;  9.407  ; 13.258 ; -0.242 ;  0.003 ; -0.115
673  ; MARK-A1    ; 60.0 ; 1.621 ;  5.998  ; 15.911 ;  0.609 ;  0.014 ;  0.367
673  ; MARK-A2    ; 60.0 ; 1.621 ;  7.285  ; 14.540 ;  0.666 ;  0.006 ;  0.379
673  ; MARK-A3    ; 60.0 ; 1.621 ;  6.775  ; 14.818 ;  0.938 ;  0.020 ;  0.587
674  ; 111-1965   ; 20.0 ; 1.837 ;  9.415  ; 11.419 ;  1.710 ;  0.004 ;  0.951
674  ; 111-1969   ; 20.0 ; 1.837 ; 10.245  ; 10.382 ;  1.959 ;  0.003 ;  1.177
678  ; GD-246     ; 60.0 ; 1.072 ;  9.762  ; 13.094 ; -0.318 ;  0.008 ; -0.148
681  ; 113-492    ; 20.0 ; 1.392 ;  9.773  ; 12.174 ;  0.553 ;  0.014 ;  0.342
681  ; 113-493    ; 20.0 ; 1.392 ;  9.984  ; 11.767 ;  0.786 ;  0.014 ;  0.430
681  ; 113-495    ; 20.0 ; 1.392 ;  9.121  ; 12.437 ;  0.947 ;  0.021 ;  0.512
