#Estrellas de referencia de la noche 6 de JKTjul99 en Johnson B
IMA  ; star        ;  t   ;  secz ; 2.5logf;   V    ;  B-V   ; Errorm ;  V-R
073  ; G138-25     ; 40.0 ; 1.043 ;  7.785 ; 13.513 ;  1.419; 0.000 ;  0.883   
076  ; PG1633+099  ; 20.0 ; 1.072 ;  8.321 ; 14.397 ; -0.192; 0.000 ; -0.093         
076  ; PG1633+099A ; 20.0 ; 1.072 ;  6.483 ; 15.256 ;  0.873; 0.000 ;  0.505          
076  ; PG1633+099B ; 20.0 ; 1.072 ;  8.577 ; 12.969 ;  1.081; 0.000 ;  0.590          
076  ; PG1633+099C ; 20.0 ; 1.072 ;  8.289 ; 13.229 ;  1.134; 0.000 ;  0.618          
076  ; PG1633+099D ; 20.0 ; 1.072 ;  8.381 ; 13.691 ;  0.535; 0.000 ;  0.324          
091  ; 109-199     ; 20.0 ; 1.849 ;  9.840 ; 10.990 ;  1.739; 0.000 ;  1.006  
092  ; MARK-A      ; 60.0 ; 1.309 ;  9.466 ; 13.258 ; -0.242; 0.000 ; -0.115 
092  ; MARK-A1     ; 60.0 ; 1.309 ;  6.057 ; 15.911 ;  0.609; 0.000 ;  0.367  
092  ; MARK-A2     ; 60.0 ; 1.309 ;  7.364 ; 14.540 ;  0.666; 0.000 ;  0.379  
092  ; MARK-A3     ; 60.0 ; 1.309 ;  6.833 ; 14.818 ;  0.938; 0.000 ;  0.587  
095  ; 111-1965    ; 20.0 ; 1.259 ;  9.527 ; 11.419 ;  1.710; 0.000 ;  0.951   
095  ; 111-1969    ; 20.0 ; 1.259 ; 10.351 ; 10.382 ;  1.959; 0.000 ;  1.177   
096  ; 113-492     ; 20.0 ; 1.138 ;  9.849 ; 12.174 ;  0.553; 0.000 ;  0.342  
096  ; 113-493     ; 20.0 ; 1.138 ; 10.041 ; 11.767 ;  0.786; 0.000 ;  0.430  
096  ; 113-495     ; 20.0 ; 1.138 ;  9.231 ; 12.437 ;  0.947; 0.000 ;  0.512  
103  ; 111-1965    ; 20.0 ; 1.844 ;  9.417 ; 11.419 ;  1.710; 0.000 ;  0.951   
102  ; 111-1969    ; 20.0 ; 1.844 ; 10.243 ; 10.382 ;  1.959; 0.000 ;  1.177   
106  ; MARK-A      ; 40.0 ; 1.668 ;  9.373 ; 13.258 ; -0.242; 0.000 ; -0.115 
106  ; MARK-A1     ; 40.0 ; 1.668 ;  5.974 ; 15.911 ;  0.609; 0.000 ;  0.367  
106  ; MARK-A2     ; 40.0 ; 1.668 ;  7.279 ; 14.540 ;  0.666; 0.000 ;  0.379  
106  ; MARK-A3     ; 40.0 ; 1.668 ;  6.757 ; 14.818 ;  0.938; 0.000 ;  0.587  


